Country,NumberOfInfections,Deaths,Cured
China,6055,132,114
Thailand,14,0,5
HongKong,8,0,0
Taiwan,8,0,0
Macau,7,0,0
Singapore,7,0,0
Japan,7,0,1
Malaysia,7,0,0
Australia,7,0,0
UnitedStates,5,0,0
SouthKorea,4,0,0
France,4,0,0
Germany,4,0,0
Vietnam,2,0,0
Canada,2,0,0
Nepal,1,0,0
Cambodia,1,0,0
SriLanka,1,0,0
UnitedArabEmirates,1,0,0
