school_name,latitude,longitude,avg_resale
ALEXANDRA PRIMARY SCHOOL,1.291299035,103.8239408,968185.4425179842
NORTHOAKS PRIMARY SCHOOL,1.456666873,103.81361,495737.29654057254
ANGSANA PRIMARY SCHOOL,1.348465689,103.9515771,496012.7874777093
PUNGGOL COVE PRIMARY SCHOOL,1.411563565,103.8989704,396371.3795754062
OASIS PRIMARY SCHOOL,1.40440927,103.9109964,396374.4973556894
WATERWAY PRIMARY SCHOOL,1.39915421,103.9186708,396374.4973556894
FERN GREEN PRIMARY SCHOOL,1.397620783,103.8802101,424583.7334884447
FIRST TOA PAYOH PRIMARY SCHOOL,1.340322987,103.8555299,862944.4538064171
NEW TOWN PRIMARY SCHOOL,1.299811389,103.7999648,427927.5987072264
BOON LAY GARDEN PRIMARY SCHOOL,1.342846708,103.712969,343210.44773700344
MARSILING PRIMARY SCHOOL,1.434423117,103.7736977,344353.3043766188
PEI TONG PRIMARY SCHOOL,1.316148017,103.7675763,572160.5089595146
YUHUA PRIMARY SCHOOL,1.342919818,103.7408611,540946.5621549163
FENGSHAN PRIMARY SCHOOL,1.330324955,103.9318854,496088.44619651115
YU NENG PRIMARY SCHOOL,1.333903809,103.9320341,496012.7874777093
XINMIN PRIMARY SCHOOL,1.371414726,103.8830391,424583.7334884368
YANGZHENG PRIMARY SCHOOL,1.348976808,103.8684671,228788.71049924006
JUYING PRIMARY SCHOOL,1.338951451,103.6878331,343210.4477370037
JUNYUAN PRIMARY SCHOOL,1.347891544,103.9396469,496012.7874777093
NORTHLAND PRIMARY SCHOOL,1.421304042,103.8407929,463265.3182711472
NAVAL BASE PRIMARY SCHOOL,1.416280153,103.8387977,463265.3182711472
XINGNAN PRIMARY SCHOOL,1.34268487,103.687724,343210.4477370037
QIHUA PRIMARY SCHOOL,1.442035966,103.7883398,361169.6295975399
GUANGYANG PRIMARY SCHOOL,1.346042665,103.8492848,857319.1176754327
TAMPINES NORTH PRIMARY SCHOOL,1.36069172,103.9489368,556547.1960448895
ELIAS PARK PRIMARY SCHOOL,1.375056963,103.9452894,647982.9371007818
AHMAD IBRAHIM PRIMARY SCHOOL,1.433681207,103.8329243,463262.2610136834
NORTH VIEW PRIMARY SCHOOL,1.427943403,103.8483683,463265.3182711472
PIONEER PRIMARY SCHOOL,1.348720927,103.6948679,343210.4477370037
PUNGGOL PRIMARY SCHOOL,1.378200623,103.8947533,424583.7334884368
PARK VIEW PRIMARY SCHOOL,1.378016876,103.9392022,647982.9371007818
ADMIRALTY PRIMARY SCHOOL,1.442549639,103.8002137,404339.2591950798
KRANJI PRIMARY SCHOOL,1.393910031,103.7474154,356756.3167430541
SENG KANG PRIMARY SCHOOL,1.389250457,103.8995279,433140.99465380993
WOODLANDS RING PRIMARY SCHOOL,1.434769705,103.7978411,404339.2591950798
WEST VIEW PRIMARY SCHOOL,1.383590574,103.7602891,356756.3167430541
WHITE SANDS PRIMARY SCHOOL,1.365517813,103.9609482,731844.6477036825
UNITY PRIMARY SCHOOL,1.40282339,103.7469934,435512.6334861082
CANBERRA PRIMARY SCHOOL,1.451064007,103.8159709,495737.29654057254
RIVERVALE PRIMARY SCHOOL,1.393414025,103.9045595,396374.4973556894
JURONG WEST PRIMARY SCHOOL,1.339243753,103.6988958,343210.4477370037
EAST SPRING PRIMARY SCHOOL,1.352770138,103.9617431,483595.5682262377
EVERGREEN PRIMARY SCHOOL,1.444148359,103.7945453,361169.6295975399
COMPASSVALE PRIMARY SCHOOL,1.394445295,103.8978122,442187.2486778447
WOODGROVE PRIMARY SCHOOL,1.43305806,103.7903896,361169.6295975399
SEMBAWANG PRIMARY SCHOOL,1.445043645,103.8210215,495737.29655446764
CONCORD PRIMARY SCHOOL,1.380411513,103.7361428,356655.0806066176
NORTH SPRING PRIMARY SCHOOL,1.387528236,103.903513,526898.3687143225
YEW TEE PRIMARY SCHOOL,1.396726035,103.751818,356756.3167430541
HOUGANG PRIMARY SCHOOL,1.378039861,103.8811662,424583.7334884368
MERIDIAN PRIMARY SCHOOL,1.375970831,103.9351432,647982.9371007818
GREENWOOD PRIMARY SCHOOL,1.440110498,103.8046293,404339.2591950798
ANDERSON PRIMARY SCHOOL,1.384665965,103.8412384,469365.5061158319
WELLINGTON PRIMARY SCHOOL,1.451890833,103.8223419,404818.2415923282
EDGEFIELD PRIMARY SCHOOL,1.400297835,103.9074305,396374.4973556894
WEST GROVE PRIMARY SCHOOL,1.344712122,103.6989642,343210.4477370037
CASUARINA PRIMARY SCHOOL,1.372789016,103.9572913,652086.4133320332
CLEMENTI PRIMARY SCHOOL,1.315808563,103.7630548,572160.5089595146
TANJONG KATONG PRIMARY SCHOOL,1.32401712,103.9389668,495662.35798383283
ANGLO-CHINESE SCHOOL (JUNIOR),1.309321297,103.8406435,442498.76975853095
CHIJ PRIMARY (TOA PAYOH),1.332818153,103.8419184,862944.3942919113
CHIJ (KELLOCK),1.302050821,103.8002646,427927.5987072264
CHIJ OUR LADY OF THE NATIVITY,1.373174017,103.8976594,285435.77304890787
DE LA SALLE SCHOOL,1.395071916,103.7434436,356756.3167430541
ST. ANDREW'S JUNIOR SCHOOL,1.331389131,103.8651289,862970.2888492127
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1.334806855,103.9412089,496012.7874777093
ST. GABRIEL'S PRIMARY SCHOOL,1.349246034,103.862332,857318.8467793334
ST. MARGARET'S PRIMARY SCHOOL,1.304144074,103.8458203,444113.45865046314
ST. JOSEPH'S INSTITUTION JUNIOR,1.317702253,103.8456701,441733.9835284054
ST. STEPHEN'S SCHOOL,1.318816206,103.9175261,550776.1355051546
CHIJ OUR LADY OF GOOD COUNSEL,1.357951427,103.8642502,357604.11582011974
MONTFORT JUNIOR SCHOOL,1.373937639,103.8896908,424583.7334884368
